id,name,type,criticality
COMP_00000,Component NEWS 67,Electronic,High
COMP_00001,Component STAFF 39,Metal,High
COMP_00002,Component LAWYER 93,Metal,High
COMP_00003,Component TOUGH 74,Chemical,Low
COMP_00004,Component BOY 96,Metal,High
COMP_00005,Component EASY 65,Electronic,Low
COMP_00006,Component DEVELOPMENT 91,Plastic,Low
COMP_00007,Component SIMPLE 17,Chemical,Low
COMP_00008,Component CUSTOMER 13,Plastic,Low
COMP_00009,Component WITHIN 13,Chemical,High
COMP_00010,Component READ 94,Chemical,Medium
COMP_00011,Component DIFFERENT 97,Chemical,Medium
COMP_00012,Component ACTIVITY 34,Metal,Low
COMP_00013,Component HAPPEN 80,Chemical,Low
COMP_00014,Component LATE 95,Chemical,Medium
COMP_00015,Component BIT 36,Chemical,High
COMP_00016,Component SURFACE 47,Metal,Low
COMP_00017,Component WAR 66,Plastic,High
COMP_00018,Component PRODUCTION 94,Chemical,Low
COMP_00019,Component WEAR 31,Electronic,High
COMP_00020,Component DREAM 44,Metal,Medium
COMP_00021,Component BOX 87,Electronic,Medium
COMP_00022,Component BANK 47,Metal,High
COMP_00023,Component CANDIDATE 37,Electronic,High
COMP_00024,Component REMAIN 78,Chemical,High
COMP_00025,Component REALITY 21,Electronic,High
COMP_00026,Component SCENE 16,Electronic,Medium
COMP_00027,Component EITHER 48,Plastic,Medium
COMP_00028,Component MIND 99,Metal,High
COMP_00029,Component CHALLENGE 67,Plastic,High
COMP_00030,Component YEAR 35,Chemical,Low
COMP_00031,Component DESIGN 13,Plastic,Low
COMP_00032,Component SAME 14,Metal,High
COMP_00033,Component TROUBLE 35,Metal,Medium
COMP_00034,Component THEN 30,Chemical,Medium
COMP_00035,Component KITCHEN 20,Electronic,Medium
COMP_00036,Component MANAGER 87,Metal,Medium
COMP_00037,Component SERIES 70,Electronic,Low
COMP_00038,Component RISE 80,Metal,High
COMP_00039,Component PRESSURE 19,Metal,High
COMP_00040,Component ARM 94,Chemical,High
COMP_00041,Component MUCH 43,Electronic,Low
COMP_00042,Component COUPLE 65,Plastic,Medium
COMP_00043,Component SITUATION 19,Chemical,High
COMP_00044,Component CAPITAL 76,Chemical,Low
COMP_00045,Component YOU 85,Metal,Low
COMP_00046,Component DEVELOPMENT 86,Electronic,Low
COMP_00047,Component SITE 14,Electronic,High
COMP_00048,Component TROUBLE 54,Plastic,Medium
COMP_00049,Component HOSPITAL 11,Plastic,Medium
COMP_00050,Component SHE 43,Plastic,High
COMP_00051,Component PROJECT 72,Electronic,Low
COMP_00052,Component CONTROL 81,Electronic,High
COMP_00053,Component SISTER 73,Electronic,Medium
COMP_00054,Component WINDOW 44,Chemical,Medium
COMP_00055,Component CIVIL 86,Electronic,Medium
COMP_00056,Component BALL 88,Metal,Low
COMP_00057,Component TEACH 28,Plastic,Low
COMP_00058,Component BUY 40,Chemical,Low
COMP_00059,Component BALL 60,Metal,Low
COMP_00060,Component BODY 13,Plastic,Medium
COMP_00061,Component NAME 61,Metal,High
COMP_00062,Component PAY 16,Chemical,Low
COMP_00063,Component ALL 59,Chemical,High
COMP_00064,Component YOU 41,Electronic,High
COMP_00065,Component PAGE 56,Plastic,Low
COMP_00066,Component OFTEN 93,Electronic,High
COMP_00067,Component DIRECTION 65,Metal,Medium
COMP_00068,Component RECOGNIZE 38,Plastic,Medium
COMP_00069,Component SIDE 37,Plastic,High
COMP_00070,Component APPEAR 78,Chemical,Medium
COMP_00071,Component MOVEMENT 33,Metal,Medium
COMP_00072,Component MEET 36,Plastic,High
COMP_00073,Component PATTERN 17,Metal,Medium
COMP_00074,Component OVER 28,Chemical,High
COMP_00075,Component DIFFERENT 30,Chemical,Low
COMP_00076,Component VALUE 49,Plastic,Medium
COMP_00077,Component DISCUSS 81,Metal,Low
COMP_00078,Component DESIGN 42,Electronic,Low
COMP_00079,Component ANY 57,Plastic,Medium
COMP_00080,Component PLANT 93,Chemical,Low
COMP_00081,Component READ 18,Metal,High
COMP_00082,Component TEST 68,Chemical,Low
COMP_00083,Component AT 80,Chemical,Medium
COMP_00084,Component CUP 50,Chemical,Medium
COMP_00085,Component NAME 78,Electronic,Medium
COMP_00086,Component SUPPORT 34,Plastic,Medium
COMP_00087,Component RANGE 99,Chemical,Low
COMP_00088,Component POINT 12,Chemical,Low
COMP_00089,Component BEAUTIFUL 68,Electronic,Medium
COMP_00090,Component PROFESSOR 55,Plastic,Low
COMP_00091,Component QUITE 32,Chemical,Medium
COMP_00092,Component POLICY 70,Metal,Low
COMP_00093,Component OR 35,Electronic,Medium
COMP_00094,Component YEAR 62,Plastic,Low
COMP_00095,Component TASK 15,Metal,Low
COMP_00096,Component KNOWLEDGE 67,Chemical,Medium
COMP_00097,Component TERM 72,Chemical,Medium
COMP_00098,Component WITHOUT 68,Plastic,High
COMP_00099,Component AGAINST 20,Metal,Medium
COMP_00100,Component COLOR 39,Plastic,High
COMP_00101,Component AFFECT 44,Chemical,Medium
COMP_00102,Component TOWN 58,Metal,Low
COMP_00103,Component SON 60,Chemical,Medium
COMP_00104,Component TEST 96,Metal,Medium
COMP_00105,Component WELL 80,Chemical,Low
COMP_00106,Component MRS 33,Electronic,Medium
COMP_00107,Component CLAIM 55,Chemical,Medium
COMP_00108,Component OR 62,Chemical,High
COMP_00109,Component ORGANIZATION 92,Plastic,Low
COMP_00110,Component INVESTMENT 42,Plastic,Low
COMP_00111,Component REALIZE 60,Metal,Medium
COMP_00112,Component WIDE 20,Electronic,Low
COMP_00113,Component RECORD 54,Plastic,Medium
COMP_00114,Component SIGN 53,Metal,High
COMP_00115,Component MOVE 28,Chemical,High
COMP_00116,Component PROVIDE 81,Electronic,High
COMP_00117,Component BY 34,Chemical,Low
COMP_00118,Component OFFER 43,Electronic,High
COMP_00119,Component CALL 44,Chemical,Medium
COMP_00120,Component EXACTLY 70,Metal,Low
COMP_00121,Component EAT 81,Metal,High
COMP_00122,Component DEMOCRAT 53,Electronic,Low
COMP_00123,Component SOUTH 90,Chemical,High
COMP_00124,Component FRIEND 59,Metal,High
COMP_00125,Component WIN 59,Metal,High
COMP_00126,Component QUICKLY 23,Plastic,Low
COMP_00127,Component SURFACE 39,Plastic,High
COMP_00128,Component WHAT 14,Metal,High
COMP_00129,Component NATURAL 87,Chemical,High
COMP_00130,Component KNOW 50,Electronic,Medium
COMP_00131,Component COUNTRY 19,Metal,Low
COMP_00132,Component OCCUR 18,Electronic,High
COMP_00133,Component ENERGY 13,Chemical,Medium
COMP_00134,Component USE 72,Metal,Medium
COMP_00135,Component YES 79,Plastic,Low
COMP_00136,Component HOPE 96,Metal,Medium
COMP_00137,Component MOUTH 92,Plastic,Medium
COMP_00138,Component SERIOUS 63,Electronic,Low
COMP_00139,Component OPTION 52,Plastic,High
COMP_00140,Component ACROSS 46,Chemical,Low
COMP_00141,Component HIM 74,Plastic,Low
COMP_00142,Component OCCUR 10,Electronic,Low
COMP_00143,Component NETWORK 17,Plastic,Low
COMP_00144,Component STAFF 21,Metal,Medium
COMP_00145,Component LIVE 12,Chemical,Medium
COMP_00146,Component MENTION 62,Chemical,High
COMP_00147,Component REASON 58,Electronic,High
COMP_00148,Component TEN 78,Chemical,Medium
COMP_00149,Component PERSONAL 47,Plastic,Low
COMP_00150,Component LEAST 41,Metal,Medium
COMP_00151,Component MONTH 39,Metal,Low
COMP_00152,Component ALTHOUGH 15,Chemical,High
COMP_00153,Component LOT 48,Chemical,Medium
COMP_00154,Component INVOLVE 13,Metal,Low
COMP_00155,Component ONLY 15,Chemical,Medium
COMP_00156,Component MISS 68,Metal,High
COMP_00157,Component OUTSIDE 57,Metal,Low
COMP_00158,Component APPROACH 83,Chemical,Medium
COMP_00159,Component COULD 20,Plastic,Medium
COMP_00160,Component FAR 21,Metal,Medium
COMP_00161,Component FEDERAL 57,Chemical,High
COMP_00162,Component KID 78,Electronic,Low
COMP_00163,Component EVERY 68,Metal,Low
COMP_00164,Component EXPLAIN 88,Metal,Medium
COMP_00165,Component COLD 30,Plastic,Low
COMP_00166,Component WITHOUT 29,Electronic,High
COMP_00167,Component DECISION 77,Chemical,Medium
COMP_00168,Component REALITY 53,Plastic,High
COMP_00169,Component GUY 61,Chemical,High
COMP_00170,Component WORRY 17,Electronic,Medium
COMP_00171,Component PAPER 70,Plastic,High
COMP_00172,Component NEXT 80,Chemical,Low
COMP_00173,Component SEVEN 22,Metal,High
COMP_00174,Component PROPERTY 76,Electronic,High
COMP_00175,Component SET 68,Electronic,Low
COMP_00176,Component I 45,Electronic,Low
COMP_00177,Component EXPERT 60,Metal,High
COMP_00178,Component MY 63,Electronic,Low
COMP_00179,Component EXPLAIN 21,Electronic,High
COMP_00180,Component AHEAD 35,Electronic,Low
COMP_00181,Component ROCK 57,Metal,Medium
COMP_00182,Component SHARE 96,Metal,Medium
COMP_00183,Component YOUR 81,Electronic,Low
COMP_00184,Component STATEMENT 51,Chemical,Low
COMP_00185,Component PAST 75,Chemical,Low
COMP_00186,Component CULTURAL 81,Plastic,Low
COMP_00187,Component RICH 86,Chemical,Low
COMP_00188,Component SPRING 79,Plastic,Low
COMP_00189,Component MARRIAGE 86,Plastic,Medium
COMP_00190,Component AIR 66,Plastic,Medium
COMP_00191,Component UP 89,Electronic,High
COMP_00192,Component CHECK 56,Chemical,High
COMP_00193,Component PART 31,Metal,Low
COMP_00194,Component AMOUNT 94,Electronic,High
COMP_00195,Component SURFACE 35,Plastic,Medium
COMP_00196,Component MEMORY 63,Plastic,Low
COMP_00197,Component WHATEVER 77,Metal,Low
COMP_00198,Component HOTEL 51,Chemical,Low
COMP_00199,Component ESPECIALLY 99,Plastic,Low
COMP_00200,Component CHECK 87,Plastic,Low
COMP_00201,Component STYLE 69,Chemical,Low
COMP_00202,Component THEM 22,Metal,Medium
COMP_00203,Component WITHOUT 76,Chemical,High
COMP_00204,Component CLAIM 81,Plastic,Medium
COMP_00205,Component WITH 75,Chemical,High
COMP_00206,Component WATCH 82,Chemical,High
COMP_00207,Component PUSH 68,Metal,Medium
COMP_00208,Component EVERYONE 98,Plastic,Medium
COMP_00209,Component ONCE 78,Electronic,High
COMP_00210,Component PASS 76,Plastic,High
COMP_00211,Component OLD 98,Chemical,Medium
COMP_00212,Component ALTHOUGH 54,Metal,Low
COMP_00213,Component BELIEVE 58,Metal,High
COMP_00214,Component FISH 91,Plastic,High
COMP_00215,Component MAJOR 70,Chemical,High
COMP_00216,Component IMPACT 44,Electronic,Low
COMP_00217,Component NOW 16,Plastic,Low
COMP_00218,Component PART 93,Electronic,High
COMP_00219,Component OIL 46,Metal,High
COMP_00220,Component STAND 58,Plastic,Low
COMP_00221,Component TO 10,Metal,Low
COMP_00222,Component TEACHER 16,Plastic,High
COMP_00223,Component DESPITE 40,Plastic,High
COMP_00224,Component THANK 51,Chemical,High
COMP_00225,Component INTEREST 76,Electronic,High
COMP_00226,Component CUSTOMER 78,Metal,Medium
COMP_00227,Component RADIO 27,Chemical,Low
COMP_00228,Component REPORT 67,Metal,High
COMP_00229,Component POLICY 78,Metal,Medium
COMP_00230,Component SOMEBODY 60,Electronic,Medium
COMP_00231,Component BOX 98,Chemical,Low
COMP_00232,Component GOVERNMENT 60,Metal,Medium
COMP_00233,Component WAR 10,Electronic,High
COMP_00234,Component PREVENT 70,Metal,Medium
COMP_00235,Component INCLUDING 22,Electronic,High
COMP_00236,Component HEAVY 78,Electronic,High
COMP_00237,Component SOUTH 51,Chemical,High
COMP_00238,Component MR 17,Chemical,High
COMP_00239,Component HOW 83,Metal,High
COMP_00240,Component KEEP 33,Metal,Low
COMP_00241,Component RESEARCH 34,Chemical,Medium
COMP_00242,Component NETWORK 98,Metal,Medium
COMP_00243,Component SERVICE 99,Plastic,High
COMP_00244,Component YOURSELF 42,Electronic,Low
COMP_00245,Component BOTH 82,Chemical,Low
COMP_00246,Component EXPLAIN 25,Electronic,Low
COMP_00247,Component ARM 31,Electronic,High
COMP_00248,Component STATE 28,Chemical,Low
COMP_00249,Component EMPLOYEE 32,Electronic,Medium
COMP_00250,Component THEY 40,Electronic,Medium
COMP_00251,Component EXPERIENCE 47,Electronic,High
COMP_00252,Component NOTHING 86,Metal,High
COMP_00253,Component TO 82,Metal,High
COMP_00254,Component ENTIRE 67,Metal,Low
COMP_00255,Component VERY 45,Electronic,High
COMP_00256,Component GROW 52,Chemical,Low
COMP_00257,Component FACTOR 50,Plastic,Medium
COMP_00258,Component GARDEN 84,Metal,Low
COMP_00259,Component EFFORT 27,Chemical,Medium
COMP_00260,Component KNOW 27,Plastic,Low
COMP_00261,Component LOOK 84,Chemical,Medium
COMP_00262,Component OUR 38,Electronic,Medium
COMP_00263,Component TECHNOLOGY 45,Metal,High
COMP_00264,Component USE 59,Chemical,Low
COMP_00265,Component THREAT 36,Electronic,Low
COMP_00266,Component CUP 28,Electronic,Low
COMP_00267,Component REACH 33,Metal,High
COMP_00268,Component SOMEONE 70,Electronic,High
COMP_00269,Component CONSIDER 96,Chemical,Low
COMP_00270,Component WHAT 89,Metal,Low
COMP_00271,Component KEEP 46,Electronic,Medium
COMP_00272,Component CUSTOMER 95,Metal,High
COMP_00273,Component DISCOVER 41,Chemical,Low
COMP_00274,Component EVER 30,Metal,High
COMP_00275,Component GUY 37,Metal,High
COMP_00276,Component REST 21,Plastic,Medium
COMP_00277,Component LIGHT 90,Plastic,High
COMP_00278,Component ARTICLE 93,Chemical,Medium
COMP_00279,Component MOVE 20,Plastic,Low
COMP_00280,Component RELATIONSHIP 40,Plastic,High
COMP_00281,Component AVOID 83,Chemical,Low
COMP_00282,Component AWAY 54,Electronic,Medium
COMP_00283,Component WILL 68,Electronic,Low
COMP_00284,Component MATTER 28,Metal,High
COMP_00285,Component HER 38,Chemical,High
COMP_00286,Component THERE 12,Electronic,Low
COMP_00287,Component USE 23,Metal,Medium
COMP_00288,Component PERSONAL 60,Plastic,Medium
COMP_00289,Component HUGE 39,Electronic,High
COMP_00290,Component INVOLVE 20,Plastic,High
COMP_00291,Component SUPPORT 39,Metal,High
COMP_00292,Component BEFORE 52,Metal,Low
COMP_00293,Component SCORE 98,Metal,High
COMP_00294,Component FILM 64,Plastic,Low
COMP_00295,Component FOLLOW 88,Electronic,Low
COMP_00296,Component RECEIVE 32,Electronic,High
COMP_00297,Component LANGUAGE 49,Metal,High
COMP_00298,Component IMPROVE 59,Plastic,Medium
COMP_00299,Component HOUR 86,Electronic,Low
COMP_00300,Component NATURAL 96,Electronic,Low
COMP_00301,Component REGION 59,Chemical,High
COMP_00302,Component EXECUTIVE 85,Electronic,High
COMP_00303,Component WORLD 35,Plastic,Medium
COMP_00304,Component PAY 81,Electronic,Medium
COMP_00305,Component ARTIST 90,Electronic,Medium
COMP_00306,Component NETWORK 54,Chemical,Low
COMP_00307,Component RULE 28,Electronic,High
COMP_00308,Component POLICY 73,Plastic,Medium
COMP_00309,Component SUDDENLY 27,Chemical,Medium
COMP_00310,Component WITH 33,Metal,Medium
COMP_00311,Component SEEM 14,Chemical,High
COMP_00312,Component HARD 79,Chemical,Medium
COMP_00313,Component MANY 29,Chemical,Medium
COMP_00314,Component CAN 91,Metal,High
COMP_00315,Component APPEAR 63,Chemical,High
COMP_00316,Component MEETING 86,Chemical,High
COMP_00317,Component ANIMAL 17,Chemical,Low
COMP_00318,Component IF 48,Metal,Low
COMP_00319,Component BUT 78,Electronic,High
COMP_00320,Component BIG 75,Metal,Low
COMP_00321,Component ESTABLISH 60,Metal,Low
COMP_00322,Component TROUBLE 73,Plastic,Low
COMP_00323,Component ADDRESS 48,Metal,High
COMP_00324,Component WRONG 91,Electronic,Medium
COMP_00325,Component CONTROL 62,Chemical,High
COMP_00326,Component COMPARE 12,Chemical,Low
COMP_00327,Component REASON 55,Metal,Medium
COMP_00328,Component DIFFICULT 67,Plastic,Medium
COMP_00329,Component THE 55,Metal,High
COMP_00330,Component PUSH 96,Electronic,Medium
COMP_00331,Component GROUP 41,Electronic,Low
COMP_00332,Component WALL 60,Electronic,Low
COMP_00333,Component THOSE 12,Plastic,High
COMP_00334,Component WHOLE 65,Electronic,High
COMP_00335,Component PERFORM 52,Electronic,Low
COMP_00336,Component KEY 12,Electronic,High
COMP_00337,Component ACTIVITY 89,Plastic,Low
COMP_00338,Component HUGE 15,Chemical,Low
COMP_00339,Component WILL 60,Plastic,Medium
COMP_00340,Component HAVE 28,Chemical,Low
COMP_00341,Component NEAR 63,Chemical,Medium
COMP_00342,Component GOOD 26,Electronic,Medium
COMP_00343,Component TOO 83,Metal,High
COMP_00344,Component HE 52,Plastic,Low
COMP_00345,Component CONSUMER 57,Chemical,High
COMP_00346,Component COULD 30,Metal,High
COMP_00347,Component VIEW 73,Plastic,Low
COMP_00348,Component SOON 42,Chemical,Medium
COMP_00349,Component PEOPLE 29,Plastic,High
COMP_00350,Component STATION 85,Electronic,High
COMP_00351,Component SUFFER 84,Plastic,High
COMP_00352,Component HIGH 72,Plastic,Medium
COMP_00353,Component AGENCY 51,Electronic,High
COMP_00354,Component PHYSICAL 78,Plastic,Medium
COMP_00355,Component REMAIN 97,Plastic,Medium
COMP_00356,Component FISH 37,Electronic,Medium
COMP_00357,Component FIGHT 13,Metal,Low
COMP_00358,Component DIFFICULT 92,Plastic,High
COMP_00359,Component LEARN 78,Chemical,High
COMP_00360,Component AFTER 88,Plastic,Low
COMP_00361,Component SUFFER 98,Chemical,Low
COMP_00362,Component SIMPLE 65,Metal,High
COMP_00363,Component EXPERIENCE 55,Metal,High
COMP_00364,Component NONE 80,Metal,High
COMP_00365,Component MY 11,Metal,Low
COMP_00366,Component TASK 22,Plastic,Low
COMP_00367,Component FIELD 94,Electronic,High
COMP_00368,Component NONE 29,Plastic,Low
COMP_00369,Component REALLY 15,Electronic,High
COMP_00370,Component SCIENTIST 26,Electronic,Medium
COMP_00371,Component SELL 30,Chemical,High
COMP_00372,Component RESPOND 98,Electronic,High
COMP_00373,Component INDICATE 71,Metal,Medium
COMP_00374,Component SERVICE 40,Plastic,Medium
COMP_00375,Component SOUND 73,Electronic,High
COMP_00376,Component ATTORNEY 84,Chemical,High
COMP_00377,Component NO 74,Plastic,High
COMP_00378,Component BOY 14,Chemical,Low
COMP_00379,Component MISSION 59,Electronic,Low
COMP_00380,Component FEEL 25,Metal,Low
COMP_00381,Component FUTURE 68,Electronic,Medium
COMP_00382,Component LESS 92,Metal,Medium
COMP_00383,Component SMALL 64,Chemical,High
COMP_00384,Component FOUR 75,Chemical,Medium
COMP_00385,Component LET 27,Metal,Low
COMP_00386,Component INTERESTING 39,Plastic,Medium
COMP_00387,Component NECESSARY 49,Chemical,Low
COMP_00388,Component CASE 21,Chemical,High
COMP_00389,Component LAY 50,Plastic,High
COMP_00390,Component REACH 57,Chemical,Low
COMP_00391,Component DIFFERENT 97,Electronic,Medium
COMP_00392,Component STUFF 11,Plastic,High
COMP_00393,Component LEADER 42,Plastic,High
COMP_00394,Component PIECE 91,Electronic,Medium
COMP_00395,Component SAVE 34,Chemical,Low
COMP_00396,Component RESPOND 42,Plastic,Low
COMP_00397,Component ACTUALLY 97,Metal,Low
COMP_00398,Component PROVE 39,Metal,Low
COMP_00399,Component ALTHOUGH 97,Electronic,High
COMP_00400,Component WHICH 58,Chemical,Low
COMP_00401,Component MOVEMENT 48,Electronic,Medium
COMP_00402,Component PARTNER 60,Electronic,Low
COMP_00403,Component REASON 17,Chemical,Low
COMP_00404,Component MAYBE 65,Electronic,Medium
COMP_00405,Component YES 58,Plastic,Low
COMP_00406,Component YEAH 63,Plastic,High
COMP_00407,Component EAST 17,Chemical,Medium
COMP_00408,Component RAISE 14,Electronic,Medium
COMP_00409,Component STOP 80,Plastic,Medium
COMP_00410,Component ANYONE 54,Electronic,High
COMP_00411,Component DO 27,Metal,Medium
COMP_00412,Component LANGUAGE 27,Plastic,Low
COMP_00413,Component HEAR 78,Electronic,Low
COMP_00414,Component POWER 64,Chemical,Medium
COMP_00415,Component SCENE 86,Chemical,Low
COMP_00416,Component TRADITIONAL 95,Plastic,High
COMP_00417,Component SOURCE 41,Metal,Medium
COMP_00418,Component ALREADY 86,Plastic,Medium
COMP_00419,Component MAKE 48,Plastic,High
COMP_00420,Component MANAGEMENT 23,Metal,Low
COMP_00421,Component FACE 73,Plastic,High
COMP_00422,Component LAND 84,Metal,Low
COMP_00423,Component LEFT 42,Plastic,High
