id,name,tier,country_id,esg_score,carbon_intensity
SUP_T1_00000,Gibbs-Bradley Mfg,1,TG,85.9,152.7
SUP_T1_00001,Thompson Ltd Mfg,1,DZ,80.7,127.9
SUP_T1_00002,Wilcox-Robertson Mfg,1,GH,59.4,337.4
SUP_T1_00003,Morales Inc Mfg,1,UG,98.7,43.2
SUP_T1_00004,Holden Group Mfg,1,UG,77.2,395.3
SUP_T1_00005,Boyle-Smith Mfg,1,SA,77.7,201.3
SUP_T1_00006,Young-Molina Mfg,1,SO,52.2,199.6
SUP_T1_00007,Turner-Sharp Mfg,1,PL,62.7,18.0
SUP_T1_00008,Green LLC Mfg,1,AU,67.2,369.1
SUP_T1_00009,"Young, Contreras and Marshall Mfg",1,VC,88.6,370.2
SUP_T1_00010,Sullivan PLC Mfg,1,IQ,56.7,182.6
SUP_T1_00011,"Carrillo, Vaughn and Fowler Mfg",1,KZ,90.7,95.8
SUP_T1_00012,Richardson-Walker Mfg,1,CH,99.0,244.5
SUP_T1_00013,Mendoza Group Mfg,1,BY,90.6,40.9
SUP_T1_00014,"Zhang, Brooks and Miles Mfg",1,CU,51.8,108.8
SUP_T1_00015,Todd-Pham Mfg,1,IN,94.3,164.6
SUP_T1_00016,Gill Ltd Mfg,1,MM,75.8,494.7
SUP_T1_00017,"Marks, Miller and Griffin Mfg",1,SM,73.7,27.9
SUP_T1_00018,"Cox, Stark and Rodriguez Mfg",1,LY,64.3,432.4
SUP_T1_00019,"Leach, Harris and Herrera Mfg",1,ST,93.3,172.6
SUP_T1_00020,Murphy PLC Mfg,1,NL,90.0,224.1
SUP_T1_00021,Wilson-Harris Mfg,1,BG,87.2,448.4
SUP_T1_00022,"Burns, Nolan and Griffin Mfg",1,TH,67.0,101.5
SUP_T1_00023,Chavez PLC Mfg,1,TV,68.4,400.7
SUP_T1_00024,Bryant-Brown Mfg,1,BJ,90.1,366.3
SUP_T1_00025,Chambers-Parker Mfg,1,HT,71.5,497.6
SUP_T1_00026,Foster Inc Mfg,1,BY,77.3,167.4
SUP_T1_00027,"Robinson, Jones and Henderson Mfg",1,HT,66.4,154.9
SUP_T1_00028,"Brown, Mcknight and Michael Mfg",1,CV,80.1,218.8
SUP_T1_00029,Andersen Group Mfg,1,BA,67.6,30.8
SUP_T1_00030,Mitchell and Sons Mfg,1,SN,80.7,223.1
SUP_T1_00031,Cannon Ltd Mfg,1,UA,53.8,322.4
SUP_T1_00032,"Stuart, Brooks and Vance Mfg",1,HN,75.7,377.5
SUP_T1_00033,Kane-Knox Mfg,1,NO,97.6,80.0
SUP_T1_00034,Miller-Brandt Mfg,1,BA,51.7,42.9
SUP_T1_00035,"Anderson, Dalton and Wilson Mfg",1,HN,68.1,475.2
SUP_T1_00036,"Long, Anderson and Irwin Mfg",1,LK,80.3,342.7
SUP_T1_00037,Avila LLC Mfg,1,PL,68.6,383.9
SUP_T1_00038,Nunez-Stephens Mfg,1,IT,76.5,205.0
SUP_T1_00039,"Gray, Hall and Murray Mfg",1,HR,62.5,65.6
SUP_T1_00040,Hill Ltd Mfg,1,BY,75.0,199.6
SUP_T1_00041,Johnson Ltd Mfg,1,NL,63.1,137.5
SUP_T1_00042,Mendez-Mayer Mfg,1,CV,60.7,309.8
SUP_T1_00043,Allen Inc Mfg,1,NP,60.0,76.5
SUP_T1_00044,Wheeler Group Mfg,1,BW,72.6,450.4
SUP_T1_00045,"Powers, Brennan and Sanchez Mfg",1,BA,99.9,407.2
SUP_T1_00046,Morales and Sons Mfg,1,MN,83.4,357.7
SUP_T1_00047,"Robinson, Shields and Brown Mfg",1,SM,64.5,157.0
SUP_T1_00048,"Holder, Young and Hendricks Mfg",1,NO,85.6,464.4
SUP_T1_00049,"Flores, Harper and Chambers Mfg",1,LU,89.7,259.3
SUP_T1_00050,Young-Walter Mfg,1,NL,99.3,398.1
SUP_T1_00051,"Boyd, Gutierrez and Hill Mfg",1,TG,89.5,22.9
SUP_T1_00052,"Fry, Hobbs and Buck Mfg",1,PL,73.4,491.7
SUP_T1_00053,"Shelton, Peters and Williams Mfg",1,PE,80.6,52.2
SUP_T1_00054,David-Powers Mfg,1,MM,69.9,361.3
SUP_T1_00055,"Flores, Butler and Hernandez Mfg",1,AE,76.3,386.9
SUP_T1_00056,White-Medina Mfg,1,BW,56.3,165.3
SUP_T1_00057,Atkinson LLC Mfg,1,BW,72.5,343.3
SUP_T1_00058,"Thomas, Ford and Brown Mfg",1,BN,56.4,416.2
SUP_T1_00059,Faulkner-Grant Mfg,1,BY,88.4,73.2
SUP_T1_00060,Price LLC Mfg,1,SA,95.5,37.2
SUP_T1_00061,Rivera Inc Mfg,1,NL,75.9,159.0
SUP_T1_00062,Boone-Davis Mfg,1,NO,66.1,357.6
SUP_T1_00063,"Calderon, Williams and Bennett Mfg",1,BN,97.4,264.3
SUP_T1_00064,"Morrison, Russo and Lopez Mfg",1,JP,92.3,132.8
SUP_T1_00065,"Ramsey, Hansen and Mendoza Mfg",1,HR,56.3,158.4
SUP_T1_00066,Turner-Stout Mfg,1,MV,54.7,324.1
SUP_T1_00067,Giles Ltd Mfg,1,DJ,58.6,316.0
SUP_T1_00068,Burgess Group Mfg,1,KZ,92.1,286.2
SUP_T1_00069,Dominguez Ltd Mfg,1,GR,54.1,474.8
SUP_T1_00070,Sanders and Sons Mfg,1,FI,82.6,385.8
SUP_T1_00071,"Morris, Campbell and Owens Mfg",1,GH,80.9,24.8
SUP_T1_00072,"Howard, Green and Hunt Mfg",1,SM,64.5,478.8
SUP_T1_00073,Owens-Lang Mfg,1,AE,62.2,405.6
SUP_T1_00074,"Harrison, Franco and Rocha Mfg",1,BG,64.9,45.8
SUP_T1_00075,Edwards-Williams Mfg,1,UA,57.9,213.7
SUP_T1_00076,Figueroa Inc Mfg,1,CH,60.2,307.3
SUP_T1_00077,Tran-Silva Mfg,1,MN,93.1,166.5
SUP_T1_00078,"Butler, Hernandez and Rivera Mfg",1,BN,98.8,74.1
SUP_T1_00079,Hudson-Sanchez Mfg,1,PL,75.7,62.0
SUP_T1_00080,"Pena, Cohen and Scott Mfg",1,TG,73.3,141.1
SUP_T1_00081,Levy-May Mfg,1,YE,57.0,34.8
SUP_T1_00082,Murray-Oconnor Mfg,1,TH,93.2,214.9
SUP_T1_00083,Jackson-Cortez Mfg,1,NO,90.7,467.5
SUP_T1_00084,White-Preston Mfg,1,MN,59.5,88.1
SUP_T1_00085,"Bernard, Warren and Combs Mfg",1,TW,73.3,440.7
SUP_T1_00086,Landry Ltd Mfg,1,TV,51.2,473.2
SUP_T1_00087,Duran Group Mfg,1,SA,72.9,128.0
SUP_T1_00088,Kirby and Sons Mfg,1,SN,52.4,147.9
SUP_T1_00089,Mann Inc Mfg,1,SO,64.3,14.0
SUP_T1_00090,Wagner LLC Mfg,1,VC,71.5,442.4
SUP_T1_00091,Williamson Ltd Mfg,1,HN,88.2,189.3
SUP_T1_00092,"Durham, Hopkins and Smith Mfg",1,BG,52.6,285.3
SUP_T1_00093,"Arnold, Smith and Moreno Mfg",1,HN,77.7,46.0
SUP_T1_00094,Nichols-Mitchell Mfg,1,SA,72.5,279.4
SUP_T1_00095,"Li, Craig and Drake Mfg",1,NL,56.4,57.4
